Sex,Age,Height,Weight,Shoe,Handed,Country,Hair,Eyes,Sleep,Study,Online,Outside,Math,Pingpong
Male,28,60,170,10,R,South Korea,Black ,Brown,7,3,0,5,Think it's kind of cool,2
Female,19,54,120,7.5,R,USA,Brown,Blue,7,2,6,5,Don't think about it,3
Female,20,57,115,6,R,USA,Black,Brown,7,0,0,8~10,Tolerate it,1
Female,20,60,143,6,R,Bangladesh,Black ,Black,7,0.5,2,3,Tolerate it,1
Female,19,60,110,6,R,Singapore,Black,Black,6,0,2,3,I live and breathe it,5
Female,20,61,105,7,R,Vietnam,Black ,Brown,6,0,2,1,Think it's kind of cool,2
Female,20,61,110,6,R,USA,Blonde,Blue,8.5,1,2,1,Tolerate it,1
Female,21,62,108,6.5,R,China,Black ,Black,8,0,3,0,Love it,1
Female,20,63,90,6.5,R,China,Black ,Black,7,3,3,8,Love it,1
Female,19,63,90,5.5,R,China,Black ,Black,8,3,1,4,NA,3
Female,20,63,NA,6,R,China,Black,Black,7,2,3,0,Think it's kind of cool,1
Female,20,63,100,5,R,South Korea,Black,Black,6,0,1,12,Think it's kind of cool,2
Female,20,63,130,8.5,R,USA,Black,Brown,9,4,1,2,Tolerate it,1
Female,20,63,150,7.5,R,Taiwan,Black,Black,7,1,4,0.5,Don't think about it,2
Female,17,63,120,7,R,China,Black,Brown,7,0,3,2,Tolerate it,2
Female,19,63.5,110,8,R,USA,Dark Brown,Dark Brown,8,1,5,1.5,Think it's kind of cool,3
Female,19,64,105,7,R,USA,Dark Brown,Dark Brown,6,0,0.2,0.5,Tolerate it,4
Female,20,64,180,9.5,R,USA,Brown,Blue/Gray,10,0,1,1,Despise it,3
Female,19,64,130,7,R,China,Dark,Brown,7,3,3,2,Think it's kind of cool,3
Female,19,64,106,6,R,China,Black,Black,9,2,5,4,Think it's kind of cool,3
Female,20,64,136,8.5,R,USA,Brown,NA,8,0,0.5,1,Tolerate it,1
Female,18,65,115,6.5,R,China,Black ,Black,13,1,0,4,Love it,4
Female,18,65,100,4.5,R,China,Black ,Dark Brown,7.5,1,4,6,Tolerate it,4
Female,19,65.4,146,8,R,China,Black,Black,7,5,6,<1,Think it's kind of cool,4
Female,20,65.5,99,5.5,R,China,Black,Brown,7.5,1,3,2,Tolerate it,3
Female,18,66,110,8.5,R,Taiwan,Brown,Brown,9,0,2.5,5.5,Think it's kind of cool,3
Male,21,66,135,10,R,Hong Kong,Black ,Black,6,1,5,8,Love it,3
Male,19,66,126,8,R,Macau,Black ,Black,7,3,3,5,Despise it,4
Female,19,66,135,8,R,USA,Brown,Hazel,7.5,0,2,3,Think it's kind of cool,2
Female,20,66,NA,7.5,NA,NA,Black ,Black,8,2,4,2,Love it,2
Female,20,66,110,8,R,China,Black,Dark Brown,5,4,3,8,Don't think about it,1
Male,19,67,145,8.5,R,Taiwan,Black ,Dark Brown,8,1,5.5,2.5,Love it,4
Female,19,67,114,6.5,R,China,Black,Black,7,11,3,7,Think it's kind of cool,3
Female,39,67,140,9,R,USA,Brown,Hazel,5,1,3,2,NA,2
Male,21,67,150,9,R,USA,Brown,Brown,7,0,6,5,Think it's kind of cool,5
Female,18,67,140,9,R,USA,Black/dark brown,Brown,7.5,0,2,3,Tolerate it,2
Male,19,67,124,8.5,R,USA,Black,Brown,6,0,3,9,Think it's kind of cool,2
Female,21,67,135,10,R,USA,Brown,Blue,4,0,5,2,Despise it,1
Female,19,67,130,7,R,USA,Brown,Blue,5,0,4,3,Despise it,3
Male,20,67,135,9,R,USA,Black,Dark Brown,7,0,2,4,Think it's kind of cool,3
Male,22,67,150,9,R,Singapore,Black,Brown,8,0,1,5,Think it's kind of cool,2
Female,20,67,NA,8.5,R,South Korea,Dark brown,Brown,7,1,5,4,Think it's kind of cool,3
Male,19,67.7,176,9,R,China,Black,Brown,3,15,4,8,Think it's kind of cool,5
Male,20,68,132,9.5,R,USA,Black ,Brown,6,0,3,10,Think it's kind of cool,2
Female,19,68,117,7.5,R,China,Brown,Dark Brown,2,0,0,22,Think it's kind of cool,3
Male,19,68,130,10,R,USA,Brown,Hazel,7.5,3,5,5,Think it's kind of cool,3
Male,19,68,160,8.5,R,USA,Brown,Blue,7,0,4,3,Love it,3
Male,20,68,134,9.5,L,USA,Black ,Dark Brown,7,0,2,4,Love it,1
Male,21,68,175,12,R,USA,Brown,Brown,6,1,0,2,Tolerate it,2
Female,19,68.4,121,7.5,R,China,Black,Brown,8,0.5,5,2,Think it's kind of cool,2
Male,20,69,195,10,R,China,Black ,Brown,7,0,3,5,Think it's kind of cool,1
Female,20,69,145,9.5,R,USA,Red,Blue,7.5,2,3,2,Think it's kind of cool,2
Female,19,69,NA,7.5,R,China,Dark brown,Black,6,10,2,13,Love it,2
Female,20,69,132,8.5,R,USA,Brown,Blue,8,0,3,not much,Think it's kind of cool,1
Male,19,70,200,12,R,Malaysia,Black ,Black,7,4,4,7,Love it,2
Male,21,70,142,10,R,Japan,Black ,Brown,3.5,4,4,8,Tolerate it,3
Male,31,70,165,8.5,R,China,Black,Brown,5.5,6,all the time,4,Don't think about it,5
Male,NA,70,140,10,R,China,Black,Black,8,1,3,1,Think it's kind of cool,5
Male,19,70,NA,9.5,R,Taiwan,Black,Black,8,0,1,7,Think it's kind of cool,4
Male,32,71,130,10.5,R,USA,Black ,Brown,6,3,3,1,Don't think about it,1
Male,15,71,130,11,L,USA,Brown,Blue,7.5,0,2,1,Think it's kind of cool,3
Male,19,71,165,7.5,R,China,Black ,Brown,8,1,3,3,Think it's kind of cool,3
Male,19,71,165,11,R,USA,Black,Blue,6,0,2,1,Tolerate it,3
Male,18,71,170,12,L,USA,Brown,Green,6.5,0,7,2,Think it's kind of cool,2
Male,18,71,132,11.5,R,USA,Brown,Brown,9,0,3,1,Think it's kind of cool,4
Male,19,72,138,8,R,USA,Brown,Hazel,7,0,1,2,Think it's kind of cool,3
Male,19,72,160,12,L,USA,Black ,Brown,8,0,1,1,Think it's kind of cool,4
Male,21,72,140,12,R,Japan,Brown,Brown,5,0,3,1,Think it's kind of cool,1
Male,19,72,175,11,R,Vietnam,Black ,Brown,6,1,0.5,13,Think it's kind of cool,3
Male,20,72,210,13,R,Austria,Brown,Grey,7,NA,NA,NA,NA,NA
Male,20,72,156,9.5,R,China,Black,Dark,7,5,2,10,Think it's kind of cool,4
Female,19,72,135,11,R,USA,Red,Green,6,0,1,6,Tolerate it,5
Male,20,72,175,10,R,China,Black,Brown,7,2,0.5,2,Don't think about it,1
Male,20,72,165,10.5,L,USA,Brown,Blue,6.5,0,1,4,Tolerate it,3
Male,21,73,172,13,R,Russia,Brown,Blue,8.5,0,1.5,2.5,Think it's kind of cool,4
Male,25,74,205,10.5,R,South Korea,Black ,Brown,6,0,5,10,Don't think about it,1
Male,20,74,185,12,R,USA,Brown,Blue,6,0,1,2,Think it's kind of cool,3
Male,19,74,200,11.5,R,South Korea,Brown,Brown,4,5,2,5,Tolerate it,2
Male,20,74,175,11,R,USA,Black ,Brown,6,0,4,2,Love it,2
Male,19,74,240,13,R,USA,Black,Brown,8,0,4,2,Love it,2
Male,19,75,185,14,R,Taiwan,Black,Brown,5,2,1,3,Don't think about it,3
Male,19,75,135,10.5,R,USA,Red,Brown,7,1,3,1,Think it's kind of cool,2
Male,21,76,220,11,R,USA,Brown,Green,6,0,2,5,Think it's kind of cool,4
Male,20,80,136,10,R,Taiwan,Black,Brown,6,0,4,8,Don't think about it,3
Female,19, ,NA,9.5,R,Australia,Brown,Black,6,0,6,1,Tolerate it,1
Male,19,NA,150,13,R,Belgium,Light Brown,Blue,6,0,3,3,Love it,3
Male,21,NA,NA,NA,R,Japan,Black ,Brown,6,3,4,6,Love it,2
Female,23,NA,NA,7,R,South Korea,Brown,Brown,6,2,1,14,Think it's kind of cool,2
Male,20,NA,NA,8,R,China,Black ,Brown,8,0,2,3,Think it's kind of cool,4
Female,19,NA,NA,6,R,China,Black ,Black,8,3,3,4,Tolerate it,2
Male,19,NA,NA,8.5,R,China,Black ,Black,8,2,5,9,I live and breathe it,2
Female,20,NA,NA,5.5,R,China,Brown,Brownish Black,8,2,3,5,Tolerate it,2
Female,20,NA,110,5.5,R,China,Black,Black,8,5,1,1.5,Think it's kind of cool,3
Female,18,NA,94,6.5,R,Taiwan,Black,Brown,8,0,1,3,Don't think about it,1