Island,TaggingDate,ID,Weight,Length,Girth,BCI,Sex,Age,DOB
Chirpoev,7/10/2005,Br800L,15.5,93,69,0.741935484,M,NA,NA
Chirpoev,7/10/2005,Br801L,29,106,71,0.669811321,F,NA,NA
Chirpoev,7/10/2005,Br802L,35.5,112,76,0.678571429,M,NA,NA
Chirpoev,7/10/2005,Br803L,32,107,72,0.672897196,M,NA,NA
Chirpoev,7/10/2005,Br804L,32,105,73.5,0.7,M,NA,NA
Chirpoev,7/10/2005,Br805L,33.5,111,72,0.648648649,M,NA,NA
Chirpoev,7/10/2005,Br806L,38,116,75,0.646551724,M,NA,NA
Chirpoev,7/10/2005,Br807L,31.5,108,67,0.62037037,M,NA,NA
Chirpoev,7/10/2005,Br808L,26,101,67,0.663366337,F,NA,NA
Chirpoev,7/10/2005,Br809L,38,116,77,0.663793103,M,NA,NA
Chirpoev,7/10/2005,Br810L,21.5,102,60,0.588235294,F,NA,NA
Chirpoev,7/10/2005,Br811L,31.5,108,71,0.657407407,F,NA,NA
Chirpoev,7/10/2005,Br812L,35,114,71,0.622807018,M,NA,NA
Chirpoev,7/10/2005,Br813L,37.5,110,74,0.672727273,M,31,6/9/2005
Chirpoev,7/10/2005,Br814L,29.5,105,71,0.676190476,F,NA,NA
Chirpoev,7/10/2005,Br815L,43.5,116,79,0.681034483,M,NA,NA
Chirpoev,7/10/2005,Br816L,27,100,67,0.67,F,NA,NA
Chirpoev,7/10/2005,Br817L,28.5,110,66,0.6,F,NA,NA
Chirpoev,7/10/2005,Br818L,41.5,117,77,0.658119658,M,NA,NA
Chirpoev,7/10/2005,Br819L,36.5,112,74,0.660714286,F,NA,NA
Chirpoev,7/10/2005,Br820L,31,108,67.5,0.625,M,NA,NA
Chirpoev,7/10/2005,Br821L,31,107,71,0.663551402,M,NA,NA
Chirpoev,7/10/2005,Br822L,38.5,118,76,0.644067797,M,NA,NA
Chirpoev,7/10/2005,Br823L,35.5,112,74,0.660714286,M,NA,NA
Chirpoev,7/10/2005,Br824L,27,105,65,0.619047619,F,31,6/9/2005
Chirpoev,7/10/2005,Br825L,44.5,114,84,0.736842105,M,NA,NA
Chirpoev,7/10/2005,Br826L,23,97,62,0.639175258,F,NA,NA
Chirpoev,7/10/2005,Br827L,35.5,115,73,0.634782609,F,NA,NA
Chirpoev,7/10/2005,Br828L,29,105,69,0.657142857,F,NA,NA
Chirpoev,7/10/2005,Br829L,22,103,66,0.640776699,F,NA,NA
Chirpoev,7/10/2005,Br830L,31.5,107,74,0.691588785,F,NA,NA
Chirpoev,7/10/2005,Br831L,40,115,77.5,0.673913043,M,NA,NA
Chirpoev,7/10/2005,Br832L,29,108,67,0.62037037,M,NA,NA
Chirpoev,7/10/2005,Br833L,40,115,80,0.695652174,M,NA,NA
Chirpoev,7/10/2005,Br834L,40,117,67,0.572649573,M,NA,NA
Chirpoev,7/10/2005,Br835L,40,121,78,0.644628099,M,NA,NA
Chirpoev,7/10/2005,Br836L,40,120,76,0.633333333,M,NA,NA
Chirpoev,7/10/2005,Br837L,32.5,115,74.5,0.647826087,F,NA,NA
Chirpoev,7/10/2005,Br838L,32,115,71,0.617391304,F,NA,NA
Chirpoev,7/10/2005,Br839L,28.5,100,70,0.7,F,NA,NA
Chirpoev,7/10/2005,Br840L,31.5,109,70,0.642201835,M,NA,NA
Chirpoev,7/10/2005,Br841L,44,115,81,0.704347826,M,NA,NA
Chirpoev,7/10/2005,Br842L,25.5,104,68,0.653846154,F,NA,NA
Chirpoev,7/10/2005,Br843L,24,103,64.5,0.626213592,F,NA,NA
Chirpoev,7/10/2005,Br844L,38.5,116,77,0.663793103,M,NA,NA
Chirpoev,7/10/2005,Br845L,30,110,69,0.627272727,M,NA,NA
Chirpoev,7/10/2005,Br846L,27,106,66,0.622641509,M,NA,NA
Chirpoev,7/10/2005,Br847L,28.5,110,71,0.645454545,M,NA,NA
Chirpoev,7/10/2005,Br848L,35.5,116,77,0.663793103,M,NA,NA
Chirpoev,7/10/2005,Br849L,45,120,88,0.733333333,M,NA,NA
Chirpoev,7/10/2005,Br850L,33.5,113,71.5,0.632743363,M,NA,NA
Chirpoev,7/10/2005,Br851L,30.5,110,77,0.7,F,NA,NA
Chirpoev,7/10/2005,Br852L,22.5,97,52.5,0.541237113,F,NA,NA
Chirpoev,7/10/2005,Br853L,28.5,108,67,0.62037037,M,NA,NA
Chirpoev,7/10/2005,Br854L,38.5,116,76,0.655172414,M,NA,NA
Chirpoev,7/10/2005,Br855L,26,105,68,0.647619048,F,NA,NA
Chirpoev,7/10/2005,Br856L,35.5,121,76,0.628099174,F,NA,NA
Chirpoev,7/10/2005,Br857L,33,111,70,0.630630631,M,NA,NA
Chirpoev,7/10/2005,Br858L,30.5,110,70,0.636363636,F,NA,NA
Chirpoev,7/10/2005,Br859L,31,107,71,0.663551402,F,NA,NA
Chirpoev,7/10/2005,Br860L,30,104,76,0.730769231,F,NA,NA
Chirpoev,7/10/2005,Br861L,37,115,78,0.67826087,M,NA,NA
Chirpoev,7/10/2005,Br862L,41.5,118,80.5,0.68220339,M,NA,NA
Chirpoev,7/10/2005,Br863L,31,110,69.5,0.631818182,M,NA,NA
Chirpoev,7/10/2005,Br864L,32.5,115,72,0.626086957,F,34,6/6/2005
Chirpoev,7/10/2005,Br865L,29.5,105,72.5,0.69047619,M,NA,NA
Chirpoev,7/10/2005,Br866L,40,115,79,0.686956522,M,NA,NA
Chirpoev,7/10/2005,Br867L,36,115,73,0.634782609,M,NA,NA
Chirpoev,7/10/2005,Br868L,20,101,59,0.584158416,F,NA,NA
Chirpoev,7/10/2005,Br870L,30,110,70.5,0.640909091,F,NA,NA
Chirpoev,7/10/2005,Br871L,26,106,65.5,0.617924528,F,NA,NA
Chirpoev,7/10/2005,Br872L,28.5,108,68.5,0.634259259,F,NA,NA
Chirpoev,7/10/2005,Br873L,31,108,71,0.657407407,F,NA,NA
Chirpoev,7/10/2005,Br874L,31,107,72,0.672897196,F,NA,NA
Chirpoev,7/10/2005,Br875L,36,114,74.5,0.653508772,M,NA,NA
Chirpoev,7/10/2005,Br876L,33.5,116,73,0.629310345,M,34,6/6/2005
Chirpoev,7/10/2005,Br877L,28.5,104,69,0.663461538,F,NA,NA
Chirpoev,7/10/2005,Br878L,23,98,62,0.632653061,F,NA,NA
Chirpoev,7/10/2005,Br879L,26.5,106,65.5,0.617924528,M,NA,NA
Chirpoev,7/10/2005,Br880L,34.5,115,77,0.669565217,F,NA,NA
Chirpoev,7/10/2005,Br881L,27,105,66.5,0.633333333,M,NA,NA
Chirpoev,7/10/2005,Br882L,34.5,110,75,0.681818182,F,NA,NA
Chirpoev,7/10/2005,Br883L,33,116,72,0.620689655,M,NA,NA
Chirpoev,7/10/2005,Br884L,39,119,80,0.672268908,M,NA,NA
Chirpoev,7/10/2005,Br885L,43,119,82,0.68907563,M,NA,NA
Chirpoev,7/10/2005,Br886L,27,104,67,0.644230769,F,NA,NA
Chirpoev,7/10/2005,Br887L,37.5,114,83,0.728070175,M,NA,NA
Chirpoev,7/10/2005,Br888L,31,113,71,0.628318584,M,NA,NA
Chirpoev,7/10/2005,Br889L,34.5,113,71,0.628318584,M,34,6/6/2005
Chirpoev,7/10/2005,Br890L,28.5,110,69.5,0.631818182,F,25,6/15/2005
Chirpoev,7/10/2005,Br891L,32,111,70,0.630630631,M,NA,NA
Chirpoev,7/10/2005,Br892L,24,103,64.5,0.626213592,F,NA,NA
Chirpoev,7/10/2005,Br893L,42.5,120,82,0.683333333,M,NA,NA
Chirpoev,7/10/2005,Br894L,32.5,112,71.5,0.638392857,F,NA,NA
Chirpoev,7/10/2005,Br895L,31.5,111,70,0.630630631,F,NA,NA
Chirpoev,7/10/2005,Br896L,26.5,106,69,0.650943396,F,NA,NA
Chirpoev,7/10/2005,Br897L,40.5,118,78,0.661016949,M,NA,NA
Chirpoev,7/10/2005,Br898L,26.5,100,64.5,0.645,M,NA,NA
Chirpoev,7/10/2005,Br899L,26.5,101,66,0.653465347,M,NA,NA
Srednova,7/9/2005,C600L,31.5,110,69,0.627272727,M,NA,NA
Srednova,7/9/2005,C601L,30,106,66,0.622641509,M,NA,NA
Srednova,7/9/2005,C602L,27,100,67,0.67,M,NA,NA
Srednova,7/9/2005,C603L,39.5,116,76.5,0.659482759,M,NA,NA
Srednova,7/9/2005,C604L,27,105,67.5,0.642857143,F,NA,NA
Srednova,7/9/2005,C605L,25.5,102,65,0.637254902,F,NA,NA
Srednova,7/9/2005,C606L,28.5,105,72,0.685714286,F,NA,NA
Srednova,7/9/2005,C607L,33,108,74.5,0.689814815,F,NA,NA
Srednova,7/9/2005,C608L,32.5,113,73,0.646017699,M,NA,NA
Srednova,7/9/2005,C609L,25.5,104,68,0.653846154,F,NA,NA
Srednova,7/9/2005,C610L,28,107,68,0.635514019,F,NA,NA
Srednova,7/9/2005,C611L,27.5,107,67,0.626168224,F,NA,NA
Srednova,7/9/2005,C612L,42,115,81,0.704347826,M,NA,NA
Srednova,7/9/2005,C613L,28.5,106,70,0.660377358,F,NA,NA
Srednova,7/9/2005,C614L,30.5,104,70,0.673076923,M,NA,NA
Srednova,7/9/2005,C615L,32.5,108,70,0.648148148,F,NA,NA
Srednova,7/9/2005,C616L,39.5,114,76.5,0.671052632,M,NA,NA
Srednova,7/9/2005,C617L,34,111,72.5,0.653153153,M,NA,NA
Srednova,7/9/2005,C618L,34.5,112,76,0.678571429,F,NA,NA
Srednova,7/9/2005,C619L,36,113,75,0.663716814,M,NA,NA
Srednova,7/9/2005,C620L,28,103,68,0.660194175,M,NA,NA
Srednova,7/9/2005,C621L,30,108,71,0.657407407,F,NA,NA
Srednova,7/9/2005,C622L,34,111,76.5,0.689189189,F,NA,NA
Srednova,7/9/2005,C623L,25,97,67,0.690721649,F,NA,NA
Srednova,7/9/2005,C624L,30,105,72,0.685714286,F,NA,NA
Srednova,7/9/2005,C625L,34.5,110,75,0.681818182,F,NA,NA
Srednova,7/9/2005,C626L,39,111,77,0.693693694,M,NA,NA
Srednova,7/9/2005,C627L,29,102,72,0.705882353,F,NA,NA
Srednova,7/9/2005,C628L,42.5,115,82,0.713043478,M,NA,NA
Srednova,7/9/2005,C629L,38,116,77,0.663793103,M,NA,NA
Srednova,7/9/2005,C630L,33.5,112,75,0.669642857,M,NA,NA
Srednova,7/9/2005,C631L,33.5,106,75.5,0.712264151,F,NA,NA
Srednova,7/9/2005,C632L,40,118,77,0.652542373,M,NA,NA
Srednova,7/9/2005,C633L,41.5,114,80,0.701754386,M,NA,NA
Srednova,7/9/2005,C634L,38.5,113,74,0.654867257,M,NA,NA
Srednova,7/9/2005,C635L,37,114,74,0.649122807,M,NA,NA
Srednova,7/9/2005,C636L,28,106,67,0.632075472,F,NA,NA
Srednova,7/9/2005,C637L,30,105,70,0.666666667,F,NA,NA
Srednova,7/9/2005,C638L,30.5,104,NA,NA,F,NA,NA
Srednova,7/9/2005,C639L,26,100,69,0.69,F,NA,NA
Srednova,7/9/2005,C640L,37.5,113,79,0.699115044,M,NA,NA
Srednova,7/9/2005,C641L,33,110,73,0.663636364,M,NA,NA
Srednova,7/9/2005,C642L,41.5,117,80,0.683760684,M,NA,NA
Srednova,7/9/2005,C643L,41.5,113,82,0.725663717,M,NA,NA
Srednova,7/9/2005,C644L,39.5,118,76,0.644067797,M,NA,NA
Srednova,7/9/2005,C645L,45.5,121,83,0.685950413,M,NA,NA
Srednova,7/9/2005,C646L,37,112,78,0.696428571,M,NA,NA
Srednova,7/9/2005,C647L,43.5,120,82,0.683333333,M,NA,NA
Srednova,7/9/2005,C648L,29,104,70,0.673076923,F,NA,NA
Srednova,7/9/2005,C649L,32,108,74,0.685185185,F,NA,NA
Srednova,7/9/2005,C650L,42,114,84,0.736842105,M,NA,NA
Srednova,7/9/2005,C652L,23.5,94,62,0.659574468,F,NA,NA
Srednova,7/9/2005,C653L,47.5,121,84,0.694214876,M,NA,NA
Srednova,7/9/2005,C654L,30.5,106,68.5,0.646226415,M,NA,NA
Srednova,7/9/2005,C655L,25,105,65,0.619047619,F,NA,NA
Srednova,7/9/2005,C656L,32.5,106,74,0.698113208,F,NA,NA
Srednova,7/9/2005,C657L,29.5,101,73,0.722772277,F,NA,NA
Srednova,7/9/2005,C658L,29,107,71,0.663551402,M,NA,NA
Srednova,7/9/2005,C659L,27,103,67.5,0.655339806,F,NA,NA
Srednova,7/9/2005,C660L,30,103,73,0.708737864,F,NA,NA
Srednova,7/9/2005,C661L,30,106,68.5,0.646226415,F,NA,NA
Srednova,7/9/2005,C662L,42,121,78,0.644628099,M,NA,NA
Srednova,7/9/2005,C663L,22.5,96,68,0.708333333,F,NA,NA
Srednova,7/9/2005,C664L,32,110,71.5,0.65,M,NA,NA
Srednova,7/9/2005,C665L,34,108,72.5,0.671296296,F,NA,NA
Srednova,7/9/2005,C666L,39,112,77,0.6875,M,NA,NA
Srednova,7/9/2005,C667L,28,102,67,0.656862745,M,NA,NA
Srednova,7/9/2005,C668L,36,110,75,0.681818182,M,NA,NA
Srednova,7/9/2005,C669L,33.5,109,73,0.669724771,M,NA,NA
Srednova,7/9/2005,C670L,33.5,111,74,0.666666667,F,NA,NA
Srednova,7/9/2005,C671L,40,117,76.5,0.653846154,M,NA,NA
Srednova,7/9/2005,C672L,30.5,102,72,0.705882353,F,NA,NA
Srednova,7/9/2005,C673L,25,101,68.5,0.678217822,F,NA,NA
Srednova,7/9/2005,C674L,37,115,76,0.660869565,M,NA,NA
Srednova,7/9/2005,C675L,32,104,72,0.692307692,M,NA,NA
Srednova,7/9/2005,C676L,36,112,74,0.660714286,M,NA,NA
Srednova,7/9/2005,C677L,26.5,103,66,0.640776699,M,NA,NA
Srednova,7/9/2005,C678L,34,106,72,0.679245283,M,NA,NA
Srednova,7/9/2005,C679L,26,105,67.5,0.642857143,F,NA,NA
Srednova,7/9/2005,C680L,25.5,107,66.5,0.621495327,F,NA,NA
Srednova,7/9/2005,C681L,27,101,68,0.673267327,F,NA,NA
Srednova,7/9/2005,C682L,35.5,110,73,0.663636364,M,NA,NA
Srednova,7/9/2005,C683L,24,101,67,0.663366337,F,NA,NA
Srednova,7/9/2005,C684L,35,116,75,0.646551724,F,NA,NA
Srednova,7/9/2005,C685L,37,110,77,0.7,M,NA,NA
Srednova,7/9/2005,C686L,24.5,102,64.5,0.632352941,F,NA,NA
Srednova,7/9/2005,C687L,25.5,99,67,0.676767677,F,NA,NA
Srednova,7/9/2005,C688L,34,107,74.5,0.696261682,M,NA,NA
Srednova,7/9/2005,C689L,28,101,68,0.673267327,M,NA,NA
Srednova,7/9/2005,C690L,22.5,101,61.5,0.608910891,F,NA,NA
Srednova,7/9/2005,C691L,32,108,70.5,0.652777778,M,NA,NA
Srednova,7/9/2005,C692L,40.5,118,78,0.661016949,M,NA,NA
Srednova,7/9/2005,C693L,33,108,74,0.685185185,M,NA,NA
Srednova,7/9/2005,C694L,38,112,77.5,0.691964286,M,NA,NA
Srednova,7/9/2005,C695L,39,120,76,0.633333333,M,NA,NA
Srednova,7/9/2005,C696L,37.5,111,76,0.684684685,M,NA,NA
Srednova,7/9/2005,C697L,30,106,73.5,0.693396226,F,NA,NA
Srednova,7/9/2005,C698L,33,108,73.5,0.680555556,F,NA,NA
Srednova,7/9/2005,C699L,33,115,73.5,0.639130435,F,NA,NA
Lovushki,7/4/2005,Lr600L,26.5,110,70,0.636363636,F,NA,NA
Lovushki,7/4/2005,Lr601L,44,125,83,0.664,M,NA,NA
Lovushki,7/4/2005,Lr602L,37,110,81.5,0.740909091,F,25,6/9/2005
Lovushki,7/4/2005,Lr603L,31,111,68,0.612612613,M,NA,NA
Lovushki,7/4/2005,Lr604L,27,106,70,0.660377358,F,NA,NA
Lovushki,7/4/2005,Lr605L,38,114,81,0.710526316,M,21,6/13/2005
Lovushki,7/4/2005,Lr606L,41.5,117,86,0.735042735,M,NA,NA
Lovushki,7/4/2005,Lr607L,33,109,74,0.678899083,M,NA,NA
Lovushki,7/4/2005,Lr608L,31,108,72,0.666666667,M,NA,NA
Lovushki,7/4/2005,Lr609L,32.5,110,72,0.654545455,M,NA,NA
Lovushki,7/4/2005,Lr610L,30,107,71,0.663551402,F,NA,NA
Lovushki,7/4/2005,Lr611L,42.5,115,83,0.72173913,M,16,6/18/2005
Lovushki,7/4/2005,Lr612L,31,110,73,0.663636364,M,NA,NA
Lovushki,7/4/2005,Lr613L,35,109,76,0.697247706,F,NA,NA
Lovushki,7/4/2005,Lr614L,37,111,78.5,0.707207207,M,NA,NA
Lovushki,7/4/2005,Lr615L,42,115,82,0.713043478,M,NA,NA
Lovushki,7/4/2005,Lr616L,29.5,108,69,0.638888889,F,NA,NA
Lovushki,7/4/2005,Lr617L,31,110,70,0.636363636,F,NA,NA
Lovushki,7/4/2005,Lr618L,32.5,106,73,0.688679245,M,NA,NA
Lovushki,7/4/2005,Lr619L,36.5,114,78,0.684210526,F,NA,NA
Lovushki,7/4/2005,Lr620L,44,121,82,0.67768595,M,29,6/5/2005
Lovushki,7/4/2005,Lr621L,42,119,81,0.680672269,M,NA,NA
Lovushki,7/4/2005,Lr622L,31,107,74,0.691588785,M,NA,NA
Lovushki,7/4/2005,Lr623L,24,106,62,0.58490566,M,NA,NA
Lovushki,7/4/2005,Lr624L,23,101,62,0.613861386,M,NA,NA
Lovushki,7/4/2005,Lr625L,28.5,108,69.5,0.643518519,F,NA,NA
Lovushki,7/4/2005,Lr626L,29.5,106,69.5,0.655660377,M,NA,NA
Lovushki,7/4/2005,Lr627L,45,121,86,0.710743802,M,NA,NA
Lovushki,7/4/2005,Lr628L,31.5,109,71,0.651376147,M,NA,NA
Lovushki,7/4/2005,Lr629L,30,106,71,0.669811321,F,NA,NA
Lovushki,7/4/2005,Lr630L,30.5,110,70,0.636363636,F,NA,NA
Lovushki,7/4/2005,Lr631L,28.5,104,73,0.701923077,F,11,6/23/2005
Lovushki,7/4/2005,Lr632L,38,121,85,0.702479339,M,NA,NA
Lovushki,7/4/2005,Lr633L,39,116,81,0.698275862,M,NA,NA
Lovushki,7/4/2005,Lr634L,25.5,102,68,0.666666667,F,NA,NA
Lovushki,7/4/2005,Lr635L,28,111,72,0.648648649,M,NA,NA
Lovushki,7/4/2005,Lr636L,33,111,75,0.675675676,F,NA,NA
Lovushki,7/4/2005,Lr637L,34.5,110,76.5,0.695454545,F,NA,NA
Lovushki,7/4/2005,Lr638L,32,106,75,0.70754717,F,NA,NA
Lovushki,7/4/2005,Lr639L,33,108,78,0.722222222,F,22,6/12/2005
Lovushki,7/4/2005,Lr640L,30,109,72,0.660550459,F,NA,NA
Lovushki,7/4/2005,Lr641L,33.5,110,76,0.690909091,F,NA,NA
Lovushki,7/4/2005,Lr642L,40.5,126,81.5,0.646825397,M,NA,NA
Lovushki,7/4/2005,Lr643L,41.5,115,82,0.713043478,M,21,6/13/2005
Lovushki,7/4/2005,Lr644L,34.5,111,74.5,0.671171171,M,NA,NA
Lovushki,7/4/2005,Lr645L,31.5,110,72,0.654545455,M,21,6/13/2005
Lovushki,7/4/2005,Lr646L,28,108,70.5,0.652777778,F,NA,NA
Lovushki,7/4/2005,Lr647L,32,111,77,0.693693694,F,NA,NA
Lovushki,7/4/2005,Lr648L,42.5,120,82,0.683333333,M,NA,NA
Lovushki,7/4/2005,Lr649L,31.5,107,70,0.654205607,F,19,6/15/2005
Lovushki,7/4/2005,Lr650L,39.5,114,80,0.701754386,M,26,6/8/2005
