Year,Notes,,,,,,,,,,,,,
79,(Pompeii eruption),,,,,,,,,,,,,
172,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,
685,,,,,,,,,,,,,,
787,Summit and south flank,,,,,,,,,,,,,
860,South flank,,,,,,,,,,,,,
900,South and west (Tironi) flanks,,,,,,,,,,,,,
968,,,,,,,,,,,,,,
991,,,,,,,,,,,,,,
999,Summit and south flank (Fossamonaca),,,,,,,,,,,,,
1006,,,,,,,,,,,,,,
1037,Summit and south flank (I Monticelli?),,,,,,,,,,,,,
1049,,,,,,,,,,,,,,
1073,,,,,,,,,,,,,,
1139,,,,,,,,,,,,,,
1150,,,,,,,,,,,,,,
1270,,,,,,,,,,,,,,
1347,,,,,,,,,,,,,,
1500,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,
1631,"Summit, SW and S flanks",,,,,,,,,,,,,
1637,,,,,,,,,,,,,,
1654,,,,,,,,,,,,,,
1682,,,,,,,,,,,,,,
1685,,,,,,,,,,,,,,
1696,,,,,,,,,,,,,,
1697,,,,,,,,,,,,,,
1701,Summit and SW flank,,,,,,,,,,,,,
1708,"Summit, upper east and south flanks",,,,,,,,,,,,,
1724,,,,,,,,,,,,,,
1732,Summit and SW flank,,,,,,,,,,,,,
1742,,,,,,,,,,,,,,
1744,"Summit, upper SE, E and lower S flanks",,,,,,,,,,,,,
1764,"Summit, upper SW, SE, and NNW flanks",,,,,,,,,,,,,
1770,"Summit, N, NE, SE and E flanks",,,,,,,,,,,,,
1783,Summit and SW flank (550-300 m),,,,,,,,,,,,,
1796,Summit and upper flanks,,,,,,,,,,,,,
1824,"Summit, upper E and S flanks",,,,,,,,,,,,,
1835,"Summit, upper east and west flanks",,,,,,,,,,,,,
1841,"Summit, upper N and E flanks",,,,,,,,,,,,,
1854,Summit and upper N flank,,,,,,,,,,,,,
1855,Summit and SW flank (300-225 m),,,,,,,,,,,,,
1864,Summit and upper SE flank,,,,,,,,,,,,,
1870,Summit and upper NW and south flanks,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,
1875,Summit and upper flanks,,,,,,,,,,,,,
1913,Summit and upper flanks,,,,,,,,,,,,,