name,cyl,volume,hp,weight,accel,year,continent,mpg
chevrolet chevelle malibu,8,307,130,3504,12,70,1,18
buick skylark 320,8,350,165,3693,11.5,70,1,15
plymouth satellite,8,318,150,3436,11,70,1,18
amc rebel sst,8,304,150,3433,12,70,1,16
ford galaxie 500,8,429,198,4341,10,70,1,15
chevrolet impala,8,454,220,4354,9,70,1,14
plymouth fury iii,8,440,215,4312,8.5,70,1,14
pontiac catalina,8,455,225,4425,10,70,1,14
amc ambassador dpl,8,390,190,3850,8.5,70,1,15
dodge challenger se,8,383,170,3563,10,70,1,15
chevrolet monte carlo,8,400,150,3761,9.5,70,1,15
buick estate wagon (sw),8,455,225,3086,10,70,1,14
toyota corona mark ii,4,113,95,2372,15,70,3,24
plymouth duster,6,198,95,2833,15.5,70,1,22
amc hornet,6,199,97,2774,15.5,70,1,18
ford maverick,6,200,85,2587,16,70,1,21
datsun pl510,4,97,88,2130,14.5,70,3,27
volkswagen 1131 deluxe sedan,4,97,46,1835,20.5,70,2,26
peugeot 504,4,110,87,2672,17.5,70,2,25
saab 99e,4,104,95,2375,17.5,70,2,25
amc gremlin,6,199,90,2648,15,70,1,21
ford f250,8,360,215,4615,14,70,1,10
chevy c20,8,307,200,4376,15,70,1,10
hi 1200d,8,304,193,4732,18.5,70,1,9
datsun pl510,4,97,88,2130,14.5,71,3,27
chevrolet vega 2300,4,140,90,2264,15.5,71,1,28
ford pinto,4,98,75,2046,19,71,1,25
amc gremlin,6,232,100,2634,13,71,1,19
plymouth satellite custom,6,225,105,3439,15.5,71,1,16
chevrolet chevelle malibu,6,250,100,3329,15.5,71,1,17
ford torino 500,6,250,88,3302,15.5,71,1,19
amc matador,6,232,100,3288,15.5,71,1,18
chevrolet impala,8,350,165,4209,12,71,1,14
pontiac catalina brougham,8,400,175,4464,11.5,71,1,14
plymouth fury iii,8,318,150,4096,13,71,1,14
dodge monaco (sw),8,383,180,4955,11.5,71,1,12
ford country squire (sw),8,400,170,4746,12,71,1,13
pontiac safari (sw),8,400,175,5140,12,71,1,13
amc hornet sportabout (sw),6,258,110,2962,13.5,71,1,18
pontiac firebird,6,250,100,3282,15,71,1,19
ford mustang,6,250,88,3139,14.5,71,1,18
opel 1900,4,116,90,2123,14,71,2,28
peugeot 304,4,79,70,2074,19.5,71,2,30
fiat 124b,4,88,76,2065,14.5,71,2,30
toyota corolla 1200,4,71,65,1773,19,71,3,31
datsun 1200,4,72,69,1613,18,71,3,35
volkswagen model 111,4,97,60,1834,19,71,2,27
plymouth cricket,4,91,70,1955,20.5,71,1,26
toyota corona hardtop,4,113,95,2278,15.5,72,3,24
dodge colt hardtop,4,97.5,80,2126,17,72,1,25
volkswagen type 3,4,97,54,2254,23.5,72,2,23
chevrolet vega,4,140,90,2408,19.5,72,1,20
ford pinto runabout,4,122,86,2226,16.5,72,1,21
pontiac catalina,8,400,175,4385,12,72,1,14
plymouth fury iii,8,318,150,4135,13.5,72,1,15
ford galaxie 500,8,351,153,4129,13,72,1,14
amc ambassador sst,8,304,150,3672,11.5,72,1,17
mercury marquis,8,429,208,4633,11,72,1,11
chrysler newport royal,8,400,190,4422,12.5,72,1,13
amc matador (sw),8,304,150,3892,12.5,72,1,15
chevrolet chevelle concours (sw),8,307,130,4098,14,72,1,13
ford gran torino (sw),8,302,140,4294,16,72,1,13
plymouth satellite custom (sw),8,318,150,4077,14,72,1,14
volkswagen 411 (sw),4,121,76,2511,18,72,2,22
peugeot 504 (sw),4,120,87,2979,19.5,72,2,21
ford pinto (sw),4,122,86,2395,16,72,1,22
datsun 510 (sw),4,97,92,2288,17,72,3,28
toyouta corona mark ii (sw),4,120,97,2506,14.5,72,3,23
dodge colt (sw),4,98,80,2164,15,72,1,28
amc matador,8,304,150,3672,11.5,73,1,14
chevrolet malibu,8,350,145,3988,13,73,1,13
ford gran torino,8,302,137,4042,14.5,73,1,14
mercury marquis brougham,8,429,198,4952,11.5,73,1,12
chevrolet caprice classic,8,400,150,4464,12,73,1,13
ford ltd,8,351,158,4363,13,73,1,13
chrysler new yorker brougham,8,440,215,4735,11,73,1,13
buick electra 225 custom,8,455,225,4951,11,73,1,12
amc ambassador brougham,8,360,175,3821,11,73,1,13
amc hornet,6,232,100,2945,16,73,1,18
ford maverick,6,250,88,3021,16.5,73,1,18
plymouth duster,6,198,95,2904,16,73,1,23
volkswagen super beetle,4,97,46,1950,21,73,2,26
chevrolet impala,8,400,150,4997,14,73,1,11
plymouth custom suburb,8,360,170,4654,13,73,1,13
amc gremlin,6,232,100,2789,15,73,1,18
toyota carina,4,97,88,2279,19,73,3,20
datsun 610,4,108,94,2379,16.5,73,3,22
maxda rx3,3,70,90,2124,13.5,73,3,18
ford pinto,4,122,85,2310,18.5,73,1,19
mercury capri v6,6,155,107,2472,14,73,1,21
fiat 124 sport coupe,4,98,90,2265,15.5,73,2,26
pontiac grand prix,8,400,230,4278,9.5,73,1,16
fiat 128,4,68,49,1867,19.5,73,2,29
opel manta,4,116,75,2158,15.5,73,2,24
audi 100ls,4,114,91,2582,14,73,2,20
volvo 144ea,4,121,112,2868,15.5,73,2,19
dodge dart custom,8,318,150,3399,11,73,1,15
toyota mark ii,6,156,122,2807,13.5,73,3,20
plymouth duster,6,198,95,3102,16.5,74,1,20
ford maverick,6,200,83,2875,17,74,1,21
amc hornet,6,232,100,2901,16,74,1,19
chevrolet nova,6,250,100,3336,17,74,1,15
ford pinto,4,122,80,2451,16.5,74,1,26
toyota corolla 1200,4,71,65,1836,21,74,3,32
chevrolet vega,4,140,75,2542,17,74,1,25
chevrolet chevelle malibu classic,6,250,100,3781,17,74,1,16
amc matador,6,258,110,3632,18,74,1,16
plymouth satellite sebring,6,225,105,3613,16.5,74,1,18
ford gran torino (sw),8,302,140,4638,16,74,1,14
audi fox,4,98,83,2219,16.5,74,2,29
volkswagen dasher,4,79,67,1963,15.5,74,2,26
opel manta,4,97,78,2300,14.5,74,2,26
toyota corona,4,76,52,1649,16.5,74,3,31
datsun 710,4,83,61,2003,19,74,3,32
dodge colt,4,90,75,2125,14.5,74,1,28
fiat 128,4,90,75,2108,15.5,74,2,24
fiat 124 tc,4,116,75,2246,14,74,2,26
subaru,4,108,93,2391,15.5,74,3,26
plymouth valiant custom,6,225,95,3264,16,75,1,19
chevrolet nova,6,250,105,3459,16,75,1,18
mercury monarch,6,250,72,3432,21,75,1,15
pontiac catalina,8,400,170,4668,11.5,75,1,16
chevrolet bel air,8,350,145,4440,14,75,1,15
plymouth grand fury,8,318,150,4498,14.5,75,1,16
ford ltd,8,351,148,4657,13.5,75,1,14
buick century,6,231,110,3907,21,75,1,17
chevroelt chevelle malibu,6,250,105,3897,18.5,75,1,16
amc matador,6,258,110,3730,19,75,1,15
buick skyhawk,6,231,110,3039,15,75,1,21
ford mustang ii,8,302,129,3169,12,75,1,13
toyota corolla,4,97,75,2171,16,75,3,29
amc gremlin,6,232,100,2914,16,75,1,20
toyota corona,4,134,96,2702,13.5,75,3,24
volkswagen dasher,4,90,71,2223,16.5,75,2,25
datsun 710,4,119,97,2545,17,75,3,24
ford pinto,6,171,97,2984,14.5,75,1,18
volkswagen rabbit,4,90,70,1937,14,75,2,29
amc pacer,6,232,90,3211,17,75,1,19
audi 100ls,4,115,95,2694,15,75,2,23
peugeot 504,4,120,88,2957,17,75,2,23
volvo 244dl,4,121,98,2945,14.5,75,2,22
honda civic cvcc,4,91,53,1795,17.5,75,3,33
fiat 131,4,107,86,2464,15.5,76,2,28
capri ii,4,140,92,2572,14.9,76,1,25
dodge colt,4,98,79,2255,17.7,76,1,26
renault 12tl,4,101,83,2202,15.3,76,2,27
chevrolet chevelle malibu classic,8,305,140,4215,13,76,1,17.5
dodge coronet brougham,8,318,150,4190,13,76,1,16
amc matador,8,304,120,3962,13.9,76,1,15.5
chevrolet nova,6,250,105,3353,14.5,76,1,22
ford maverick,6,200,81,3012,17.6,76,1,24
chevrolet chevette,4,85,52,2035,22.2,76,1,29
chevrolet woody,4,98,60,2164,22.1,76,1,24.5
vw rabbit,4,90,70,1937,14.2,76,2,29
honda civic,4,91,53,1795,17.4,76,3,33
dodge aspen se,6,225,100,3651,17.7,76,1,20
volkswagen rabbit,4,97,71,1825,12.2,76,2,29.5
datsun b-210,4,85,70,1990,17,76,3,32
volvo 245,4,130,102,3150,15.7,76,2,20
dodge d100,8,318,150,3755,14,76,1,13
renault 5 gtl,4,79,58,1825,18.6,77,2,36
datsun f-10 hatchback,4,85,70,1945,16.8,77,3,33.5
oldsmobile cutlass supreme,8,260,110,4060,19,77,1,17
dodge monaco brougham,8,318,145,4140,13.7,77,1,15.5
mercury cougar brougham,8,302,130,4295,14.9,77,1,15
chevrolet concours,6,250,110,3520,16.4,77,1,17.5
buick skylark,6,231,105,3425,16.9,77,1,20.5
plymouth volare custom,6,225,100,3630,17.7,77,1,19
pontiac grand prix lj,8,400,180,4220,11.1,77,1,16
chevrolet monte carlo landau,8,350,170,4165,11.4,77,1,15.5
chrysler cordoba,8,400,190,4325,12.2,77,1,15.5
ford thunderbird,8,351,149,4335,14.5,77,1,16
pontiac sunbird coupe,4,151,88,2740,16,77,1,24.5
toyota corolla liftback,4,97,75,2265,18.2,77,3,26
ford mustang ii 2+2,4,140,89,2755,15.8,77,1,25.5
chevrolet chevette,4,98,63,2051,17,77,1,30.5
dodge colt m/m,4,98,83,2075,15.9,77,1,33.5
subaru dl,4,97,67,1985,16.4,77,3,30
volkswagen dasher,4,97,78,2190,14.1,77,2,30.5
datsun 810,6,146,97,2815,14.5,77,3,22
mazda rx-4,3,80,110,2720,13.5,77,3,21.5
volkswagen rabbit custom diesel,4,90,48,1985,21.5,78,2,43.1
mazda glc deluxe,4,78,52,1985,19.4,78,3,32.8
datsun b210 gx,4,85,70,2070,18.6,78,3,39.4
honda civic cvcc,4,91,60,1800,16.4,78,3,36.1
dodge diplomat,8,318,140,3735,13.2,78,1,19.4
mercury monarch ghia,8,302,139,3570,12.8,78,1,20.2
pontiac phoenix lj,6,231,105,3535,19.2,78,1,19.2
chevrolet malibu,6,200,95,3155,18.2,78,1,20.5
ford fairmont (auto),6,200,85,2965,15.8,78,1,20.2
ford fairmont (man),4,140,88,2720,15.4,78,1,25.1
amc concord,6,232,90,3210,17.2,78,1,19.4
buick century special,6,231,105,3380,15.8,78,1,20.6
mercury zephyr,6,200,85,3070,16.7,78,1,20.8
amc concord d/l,6,258,120,3410,15.1,78,1,18.1
chevrolet monte carlo landau,8,305,145,3425,13.2,78,1,19.2
buick regal sport coupe (turbo),6,231,165,3445,13.4,78,1,17.7
dodge magnum xe,8,318,140,4080,13.7,78,1,17.5
chevrolet chevette,4,98,68,2155,16.5,78,1,30
toyota corona,4,134,95,2560,14.2,78,3,27.5
datsun 510,4,119,97,2300,14.7,78,3,27.2
dodge omni,4,105,75,2230,14.5,78,1,30.9
toyota celica gt liftback,4,134,95,2515,14.8,78,3,21.1
oldsmobile starfire sx,4,151,85,2855,17.6,78,1,23.8
datsun 200-sx,4,119,97,2405,14.9,78,3,23.9
audi 5000,5,131,103,2830,15.9,78,2,20.3
volvo 264gl,6,163,125,3140,13.6,78,2,17
peugeot 604sl,6,163,133,3410,15.8,78,2,16.2
honda accord lx,4,98,68,2135,16.6,78,3,29.5
mercury zephyr 6,6,200,85,2990,18.2,79,1,19.8
amc concord dl 6,6,232,90,3265,18.2,79,1,20.2
dodge aspen 6,6,225,110,3360,16.6,79,1,20.6
ford ltd landau,8,302,129,3725,13.4,79,1,17.6
mercury grand marquis,8,351,138,3955,13.2,79,1,16.5
dodge st. regis,8,318,135,3830,15.2,79,1,18.2
buick estate wagon (sw),8,350,155,4360,14.9,79,1,16.9
ford country squire (sw),8,351,142,4054,14.3,79,1,15.5
chevrolet malibu classic (sw),8,267,125,3605,15,79,1,19.2
chrysler lebaron town @ country (sw),8,360,150,3940,13,79,1,18.5
vw rabbit custom,4,89,71,1925,14,79,2,31.9
amc spirit dl,4,121,80,2670,15,79,1,27.4
peugeot 504,4,141,71,3190,24.8,79,2,27.2
oldsmobile cutlass salon brougham,8,260,90,3420,22.2,79,1,23.9
plymouth horizon,4,105,70,2200,13.2,79,1,34.2
plymouth horizon tc3,4,105,70,2150,14.9,79,1,34.5
datsun 210,4,85,65,2020,19.2,79,3,31.8
oldsmobile omega brougham,6,173,115,2700,12.9,79,1,26.8
vw rabbit,4,98,76,2144,14.7,80,2,41.5
toyota corolla tercel,4,89,60,1968,18.8,80,3,38.1
chevrolet chevette,4,98,70,2120,15.5,80,1,32.1
chevrolet citation,4,151,90,2678,16.5,80,1,28
ford fairmont,4,140,88,2870,18.1,80,1,26.4
amc concord,4,151,90,3003,20.1,80,1,24.3
toyota corona liftback,4,134,90,2711,15.5,80,3,29.8
mazda 626,4,120,75,2542,17.5,80,3,31.3
datsun 510 hatchback,4,119,92,2434,15,80,3,37
toyota corolla,4,108,75,2265,15.2,80,3,32.2
dodge colt,4,156,105,2800,14.4,80,1,27.9
datsun 210,4,85,65,2110,19.2,80,3,40.8
vw rabbit c (diesel),4,90,48,2085,21.7,80,2,44.3
audi 5000s (diesel),5,121,67,2950,19.9,80,2,36.4
mercedes-benz 240d,4,146,67,3250,21.8,80,2,30
honda civic 1500 gl,4,91,67,1850,13.8,80,3,44.6
renault lecar deluxe,4,85,63,1835,17.3,80,2,40.9
subaru dl,4,97,67,2145,18,80,3,33.8
vokswagen rabbit,4,89,62,1845,15.3,80,2,29.8
datsun 280-zx,6,168,132,2910,11.4,80,3,32.7
mazda rx-7 gs,3,70,100,2420,12.5,80,3,23.7
triumph tr7 coupe,4,122,88,2500,15.1,80,2,35
ford mustang cobra,4,140,88,2905,14.3,80,1,23.6
plymouth reliant,4,135,84,2490,15.7,81,1,27.2
buick skylark,4,151,84,2635,16.4,81,1,26.6
chevrolet citation,6,173,110,2725,12.6,81,1,23.5
plymouth reliant,4,135,84,2385,12.9,81,1,30
toyota starlet,4,79,58,1755,16.9,81,3,39.1
honda civic 1300,4,81,60,1760,16.1,81,3,35.1
subaru,4,97,67,2065,17.8,81,3,32.3
datsun 210 mpg,4,85,65,1975,19.4,81,3,37
toyota tercel,4,89,62,2050,17.3,81,3,37.7
mazda glc 4,4,91,68,1985,16,81,3,34.1
plymouth horizon 4,4,105,63,2215,14.9,81,1,34.7
ford escort 4w,4,98,65,2045,16.2,81,1,34.4
ford escort 2h,4,98,65,2380,20.7,81,1,29.9
volkswagen jetta,4,105,74,2190,14.2,81,2,33
renault 18i,4,100,78,2320,15.8,81,2,34.5
honda prelude,4,107,75,2210,14.4,81,3,33.7
datsun 200sx,4,119,100,2615,14.8,81,3,32.9
mazda 626,4,120,74,2635,18.3,81,3,31.6
peugeot 505s turbo diesel,4,141,80,3230,20.4,81,2,28.1
volvo diesel,6,145,76,3160,19.6,81,2,30.7
toyota cressida,6,168,116,2900,12.6,81,3,25.4
datsun 810 maxima,6,146,120,2930,13.8,81,3,24.2
buick century,6,231,110,3415,15.8,81,1,22.4
oldsmobile cutlass ls,8,350,105,3725,19,81,1,26.6
ford granada gl,6,200,88,3060,17.1,81,1,20.2
chrysler lebaron salon,6,225,85,3465,16.6,81,1,17.6
chevrolet cavalier wagon,4,112,88,2640,18.6,82,1,27
pontiac j2000 se hatchback,4,112,85,2575,16.2,82,1,31
dodge aries se,4,135,84,2525,16,82,1,29
pontiac phoenix,4,151,90,2735,18,82,1,27
mazda glc custom l,4,91,68,2025,18.2,82,3,37
mazda glc custom,4,91,68,1970,17.6,82,3,31
nissan stanza xe,4,120,88,2160,14.5,82,3,36
honda accord,4,107,75,2205,14.5,82,3,36
toyota corolla,4,108,70,2245,16.9,82,3,34
honda civic,4,91,67,1965,15,82,3,38
buick century limited,6,181,110,2945,16.4,82,1,25
oldsmobile cutlass ciera (diesel),6,262,85,3015,17,82,1,38
chrysler lebaron medallion,4,156,92,2585,14.5,82,1,26
ford granada l,6,232,112,2835,14.7,82,1,22
toyota celica gt,4,144,96,2665,13.9,82,3,32
dodge charger 2.2,4,135,84,2370,13,82,1,36
chevrolet camaro,4,151,90,2950,17.3,82,1,27
ford mustang gl,4,140,86,2790,15.6,82,1,27
vw pickup,4,97,52,2130,24.6,82,2,44
dodge rampage,4,135,84,2295,11.6,82,1,32
ford ranger,4,120,79,2625,18.6,82,1,28
chevy s-10,4,119,82,2720,19.4,82,1,31
